question,answer
What is 9 - (4 - 2)?,7
What is 1 + (8 - 3)?,6
What is 7 - (5 - 3)?,5
What is 1 - (0 - 0)?,1
What is 0 * (8 + 9)?,0
What is 3 * (1 * 8)?,24
What is 6 + (8 + 4)?,18
What is 6 + (9 + 6)?,21
What is 6 - (1 + 1)?,4
What is 0 * (7 - 6)?,0
What is 0 * (7 - 5)?,0
What is 1 + (5 - 1)?,5
What is 0 + (5 + 5)?,10
What is 3 * (5 + 1)?,18
What is 3 * (0 * 3)?,0
What is 1 - (0 * 4)?,1
What is 0 + (9 + 3)?,12
What is 7 - (1 * 7)?,0
What is 4 + (2 - 0)?,6
What is 5 - (7 * 4)?,-23
What is 5 + (2 + 9)?,16
What is 8 + (9 - 4)?,13
What is 2 - (2 * 3)?,-4
What is 3 - (3 - 2)?,2
What is 6 * (0 + 2)?,12
What is 6 + (1 - 1)?,6
What is 4 * (8 + 6)?,56
What is 9 * (6 - 4)?,18
What is 1 * (3 - 7)?,-4
What is 8 - (0 + 6)?,2
What is 6 + (5 - 7)?,4
What is 4 + (7 + 1)?,12
What is 4 * (1 * 8)?,32
What is 2 + (7 - 6)?,3
What is 6 - (2 - 3)?,7
What is 8 - (2 * 5)?,-2
What is 1 - (7 + 3)?,-9
What is 7 + (9 + 7)?,23
What is 4 * (1 * 4)?,16
What is 2 + (6 * 7)?,44
What is 7 - (3 - 8)?,12
What is 0 * (1 + 4)?,0
What is 0 * (4 * 6)?,0
What is 6 * (7 - 1)?,36
What is 5 * (4 + 3)?,35
What is 0 - (1 * 4)?,-4
What is 5 + (1 + 8)?,14
What is 1 - (6 * 4)?,-23
What is 2 * (9 + 8)?,34
What is 8 * (1 * 6)?,48
What is 6 - (4 - 4)?,6
What is 9 + (2 * 2)?,13
What is 1 * (6 - 6)?,0
What is 2 - (8 * 4)?,-30
What is 7 - (6 - 3)?,4
What is 8 * (5 + 7)?,96
What is 7 * (4 - 2)?,14
What is 0 + (9 - 3)?,6
What is 7 * (6 + 0)?,42
What is 1 - (6 + 0)?,-5
What is 1 - (9 * 0)?,1
What is 4 * (3 - 2)?,4
What is 3 - (1 * 6)?,-3
What is 5 - (6 - 2)?,1
What is 6 * (2 + 7)?,54
What is 8 + (5 + 2)?,15
What is 7 - (5 - 6)?,8
What is 6 - (3 + 3)?,0
What is 9 + (0 + 6)?,15
What is 1 + (2 * 5)?,11
What is 2 - (3 * 9)?,-25
What is 1 - (8 - 4)?,-3
What is 7 * (0 * 8)?,0
What is 8 - (6 - 9)?,11
What is 4 - (7 - 3)?,0
What is 0 + (0 - 0)?,0
What is 0 + (4 + 0)?,4
What is 6 - (3 * 9)?,-21
What is 3 - (7 * 3)?,-18
What is 1 - (9 - 1)?,-7
What is 8 - (7 + 5)?,-4
What is 8 - (0 + 3)?,5
What is 3 + (8 + 5)?,16
What is 4 * (4 - 4)?,0
What is 4 * (7 + 5)?,48
What is 0 + (4 + 8)?,12
What is 7 + (7 - 7)?,7
What is 7 + (7 + 7)?,21
What is 1 + (3 - 1)?,3
What is 3 + (7 - 9)?,1
What is 8 + (6 + 0)?,14
What is 7 - (3 - 2)?,6
What is 5 * (6 - 1)?,25
What is 9 * (8 - 3)?,45
What is 7 - (8 * 9)?,-65
What is 4 + (4 + 3)?,11
What is 9 * (1 - 2)?,-9
What is 3 * (3 * 4)?,36
What is 0 - (8 + 8)?,-16
What is 1 + (6 * 4)?,25
What is 9 * (5 * 3)?,135
What is 8 * (4 + 3)?,56
What is 1 * (8 - 4)?,4
What is 3 - (5 * 7)?,-32
What is 2 * (2 * 0)?,0
What is 5 * (5 + 9)?,70
What is 2 + (6 * 2)?,14
What is 1 - (2 * 3)?,-5
What is 3 + (3 - 2)?,4
What is 5 + (9 * 9)?,86
What is 7 + (1 * 9)?,16
What is 9 - (5 - 7)?,11
What is 0 * (3 + 8)?,0
What is 7 - (7 * 8)?,-49
What is 1 * (4 - 2)?,2
What is 3 - (5 + 4)?,-6
What is 3 * (0 * 5)?,0
What is 3 * (5 * 7)?,105
What is 3 * (4 + 5)?,27
What is 4 * (0 * 5)?,0
What is 0 + (2 - 5)?,-3
What is 0 + (0 + 3)?,3
What is 3 + (5 - 1)?,7
What is 6 - (2 - 3)?,7
What is 2 + (5 * 4)?,22
What is 5 + (6 - 6)?,5
What is 4 * (8 * 8)?,256
What is 7 + (0 - 9)?,-2
What is 6 * (2 + 0)?,12
What is 9 + (8 - 2)?,15
What is 3 + (2 + 3)?,8
What is 8 - (2 * 1)?,6
What is 1 * (9 + 7)?,16
What is 9 - (9 - 0)?,0
What is 6 - (0 + 0)?,6
What is 5 - (4 + 2)?,-1
What is 8 * (5 - 2)?,24
What is 5 - (4 + 7)?,-6
What is 4 * (8 - 4)?,16
What is 0 * (8 - 9)?,0
What is 0 * (7 + 6)?,0
What is 6 + (5 + 7)?,18
What is 4 * (0 * 4)?,0
What is 9 * (4 * 3)?,108
What is 5 + (6 + 4)?,15
What is 9 * (5 * 3)?,135
What is 8 + (5 - 2)?,11
What is 0 * (9 + 0)?,0
What is 5 * (5 - 4)?,5
What is 5 * (7 - 6)?,5
What is 2 * (0 + 2)?,4
What is 7 + (2 * 5)?,17
What is 7 + (4 + 9)?,20
What is 8 + (6 * 4)?,32
What is 2 * (1 + 2)?,6
What is 8 - (8 - 9)?,9
What is 4 + (4 - 4)?,4
What is 4 * (4 * 8)?,128
What is 5 * (5 - 3)?,10
What is 2 + (0 * 8)?,2
What is 9 - (6 + 5)?,-2
What is 8 + (6 + 9)?,23
What is 5 * (8 + 2)?,50
What is 5 * (7 * 0)?,0
What is 3 - (9 + 3)?,-9
What is 6 - (1 + 9)?,-4
What is 7 + (8 + 1)?,16
What is 7 * (1 - 6)?,-35
What is 4 - (4 * 6)?,-20
What is 5 + (1 - 4)?,2
What is 0 - (4 - 3)?,-1
What is 6 * (6 - 0)?,36
What is 5 * (9 * 2)?,90
What is 4 - (5 - 0)?,-1
What is 8 + (2 * 0)?,8
What is 5 + (5 + 0)?,10
What is 1 + (8 - 7)?,2
What is 0 + (5 * 6)?,30
What is 4 * (6 + 2)?,32
What is 6 + (4 + 8)?,18
What is 2 * (2 * 7)?,28
What is 0 * (8 * 0)?,0
What is 6 * (2 + 5)?,42
What is 1 - (8 + 2)?,-9
What is 4 - (5 * 4)?,-16
What is 7 * (2 + 7)?,63
What is 0 * (9 * 2)?,0
What is 0 + (5 * 1)?,5
What is 7 - (9 * 3)?,-20
What is 2 - (5 * 2)?,-8
What is 0 * (8 - 1)?,0
What is 0 - (1 * 1)?,-1
What is 5 - (9 - 7)?,3
What is 8 + (5 - 1)?,12
What is 0 + (2 - 2)?,0
What is 9 - (3 * 0)?,9
What is 0 + (4 * 6)?,24
What is 2 - (5 + 1)?,-4
What is 7 * (5 - 9)?,-28
What is 4 - (9 + 7)?,-12
What is 0 + (7 - 4)?,3
What is 1 + (5 + 1)?,7
What is 5 - (0 * 2)?,5
What is 0 * (5 * 7)?,0
What is 7 + (7 * 1)?,14
What is 6 * (4 * 0)?,0
What is 1 - (1 + 5)?,-5
What is 7 * (0 * 2)?,0
What is 4 - (0 - 0)?,4
What is 2 + (8 + 2)?,12
What is 2 - (3 + 9)?,-10
What is 7 + (6 + 0)?,13
What is 4 + (5 - 2)?,7
What is 3 - (2 - 6)?,7
What is 9 * (2 + 6)?,72
What is 2 * (9 - 0)?,18
What is 2 + (2 - 0)?,4
What is 8 + (0 + 0)?,8
What is 9 + (9 * 2)?,27
What is 6 - (0 * 6)?,6
What is 5 - (3 * 2)?,-1
What is 3 + (8 + 6)?,17
What is 6 + (9 - 5)?,10
What is 6 - (3 + 7)?,-4
What is 6 - (3 * 7)?,-15
What is 1 * (4 - 4)?,0
What is 8 * (0 - 9)?,-72
What is 3 * (4 - 0)?,12
What is 6 + (1 + 8)?,15
What is 6 * (0 - 6)?,-36
What is 6 * (1 - 7)?,-36
What is 2 - (2 - 5)?,5
What is 2 * (9 + 4)?,26
What is 5 * (5 - 2)?,15
What is 7 + (8 - 0)?,15
What is 2 - (9 - 5)?,-2
What is 0 - (4 + 8)?,-12
What is 6 * (4 + 6)?,60
What is 5 + (2 * 2)?,9
What is 5 - (2 * 0)?,5
What is 6 * (7 * 1)?,42
What is 1 * (6 * 8)?,48
What is 2 + (2 + 2)?,6
What is 3 + (0 - 8)?,-5
What is 5 * (9 - 4)?,25
What is 1 + (6 - 4)?,3
What is 8 * (5 + 8)?,104
What is 6 + (8 - 4)?,10
What is 5 * (6 - 7)?,-5
What is 6 * (6 + 1)?,42
What is 2 * (0 * 9)?,0
What is 8 * (1 * 3)?,24
What is 9 - (8 * 1)?,1
What is 9 + (2 + 6)?,17
What is 0 * (1 - 5)?,0
What is 5 - (1 * 7)?,-2
What is 4 + (7 * 3)?,25
What is 8 + (1 + 8)?,17
What is 2 * (8 * 6)?,96
What is 3 - (7 + 6)?,-10
What is 9 + (2 - 6)?,5
What is 9 + (0 * 6)?,9
What is 9 + (6 * 5)?,39
What is 7 * (0 + 7)?,49
What is 4 * (8 * 7)?,224
What is 6 + (7 + 4)?,17
What is 8 - (5 * 2)?,-2
What is 2 + (7 - 1)?,8
What is 6 * (9 + 6)?,90
What is 4 + (7 - 3)?,8
What is 2 + (5 * 1)?,7
What is 0 * (2 + 9)?,0
What is 0 * (0 * 6)?,0
What is 9 - (7 * 1)?,2
What is 5 * (5 + 1)?,30
What is 3 - (3 - 7)?,7
What is 3 - (0 * 7)?,3
What is 5 - (1 * 1)?,4
What is 6 - (3 + 5)?,-2
What is 3 * (4 - 3)?,3
What is 5 * (4 + 6)?,50
What is 1 * (6 - 5)?,1
What is 3 - (5 - 5)?,3
What is 5 + (6 - 4)?,7
What is 4 + (1 - 7)?,-2
What is 3 - (2 + 5)?,-4
What is 1 - (6 * 6)?,-35
What is 7 + (9 * 9)?,88
What is 6 - (8 + 4)?,-6
What is 5 + (8 - 0)?,13
What is 5 - (6 + 3)?,-4
What is 9 + (0 - 6)?,3
What is 3 + (5 + 2)?,10
What is 5 + (0 + 3)?,8
What is 6 + (8 + 0)?,14
What is 9 + (9 * 3)?,36
What is 7 * (3 * 0)?,0
What is 6 + (1 + 8)?,15
What is 3 - (6 + 6)?,-9
What is 6 + (3 * 6)?,24
What is 4 - (0 * 9)?,4
What is 5 * (5 + 7)?,60
What is 9 - (8 + 1)?,0
What is 1 * (4 + 0)?,4
What is 9 + (2 * 6)?,21
What is 5 * (3 * 6)?,90
What is 1 * (8 - 1)?,7
What is 1 - (8 + 7)?,-14
What is 7 + (8 - 5)?,10
What is 4 * (6 * 1)?,24
What is 5 + (3 - 7)?,1
What is 7 - (6 * 0)?,7
What is 0 - (8 + 6)?,-14
What is 6 - (3 - 4)?,7
What is 2 - (3 - 7)?,6
What is 7 * (9 * 2)?,126
What is 1 * (3 * 4)?,12
What is 1 - (0 + 2)?,-1
What is 5 - (9 - 2)?,-2
What is 3 + (6 + 7)?,16
What is 6 * (0 * 5)?,0
What is 3 * (5 * 2)?,30
What is 9 + (9 * 6)?,63
What is 9 + (7 * 9)?,72
What is 7 - (0 * 3)?,7
What is 5 + (8 + 3)?,16
What is 0 - (2 * 3)?,-6
What is 9 * (3 - 1)?,18
What is 4 * (5 + 7)?,48
What is 2 - (5 * 8)?,-38
What is 7 * (6 - 7)?,-7
What is 7 + (1 + 2)?,10
What is 2 * (6 * 7)?,84
What is 3 + (5 - 0)?,8
What is 3 * (1 * 6)?,18
What is 6 * (8 + 3)?,66
What is 2 - (8 - 7)?,1
What is 8 + (8 * 1)?,16
What is 7 - (0 * 3)?,7
What is 5 * (4 + 1)?,25
What is 3 * (9 * 0)?,0
What is 5 - (2 + 7)?,-4
What is 9 + (7 - 4)?,12
What is 6 + (8 * 5)?,46
What is 4 + (1 - 0)?,5
What is 9 + (9 * 7)?,72
What is 7 - (6 * 5)?,-23
What is 0 * (1 * 6)?,0
What is 2 + (2 * 0)?,2
What is 6 * (3 - 0)?,18
What is 4 - (6 - 1)?,-1
What is 5 * (9 * 3)?,135
What is 8 * (0 * 5)?,0
What is 0 + (2 * 7)?,14
What is 4 - (5 + 2)?,-3
What is 9 + (8 - 6)?,11
What is 9 + (1 * 8)?,17
What is 2 * (7 + 0)?,14
What is 5 * (1 + 8)?,45
What is 2 + (3 * 6)?,20
What is 7 - (5 * 2)?,-3
What is 5 + (8 - 3)?,10
What is 5 * (2 * 4)?,40
What is 0 - (1 * 5)?,-5
What is 5 * (0 + 1)?,5
What is 4 * (1 - 2)?,-4
What is 3 - (8 - 8)?,3
What is 1 * (6 - 8)?,-2
What is 1 - (1 - 9)?,9
What is 2 * (4 - 3)?,2
What is 4 + (0 * 0)?,4
What is 4 - (1 * 5)?,-1
What is 4 * (0 * 3)?,0
What is 2 + (4 - 9)?,-3
What is 6 + (4 - 9)?,1
What is 5 - (8 * 7)?,-51
What is 1 + (6 * 5)?,31
What is 0 - (3 + 7)?,-10
What is 3 + (1 + 4)?,8
What is 2 - (7 * 0)?,2
What is 6 + (1 - 8)?,-1
What is 4 - (4 - 6)?,6
What is 0 - (2 + 8)?,-10
What is 3 - (2 + 3)?,-2
What is 2 * (8 + 4)?,24
What is 2 * (3 + 6)?,18
What is 3 * (8 * 2)?,48
What is 2 - (3 * 8)?,-22
What is 0 + (7 - 3)?,4
What is 2 - (6 + 8)?,-12
What is 6 - (8 + 8)?,-10
What is 2 + (1 + 8)?,11
What is 0 - (3 * 6)?,-18
What is 4 * (6 - 5)?,4
What is 4 * (1 + 2)?,12
What is 3 * (0 + 0)?,0
What is 7 * (3 * 7)?,147
What is 2 - (9 + 8)?,-15
What is 9 * (2 - 5)?,-27
What is 5 * (4 * 8)?,160
What is 4 - (2 * 0)?,4
What is 3 - (9 - 6)?,0
What is 4 - (7 - 2)?,-1
What is 5 - (5 - 9)?,9
What is 9 - (6 * 8)?,-39
What is 9 - (3 + 3)?,3
What is 4 * (8 + 2)?,40
What is 9 * (8 * 8)?,576
What is 7 - (5 - 4)?,6
What is 7 * (8 + 0)?,56
What is 4 + (7 + 1)?,12
What is 9 + (1 + 4)?,14
What is 2 * (9 - 2)?,14
What is 9 * (4 * 0)?,0
What is 0 + (0 - 9)?,-9
What is 3 * (6 - 7)?,-3
What is 5 - (1 + 9)?,-5
What is 0 * (2 * 0)?,0
What is 4 - (5 + 3)?,-4
What is 5 - (2 * 2)?,1
What is 2 * (9 - 9)?,0
What is 9 + (3 - 0)?,12
What is 9 * (0 + 2)?,18
What is 6 * (4 * 5)?,120
What is 9 - (3 + 0)?,6
What is 5 - (4 * 7)?,-23
What is 5 - (4 + 1)?,0
What is 1 * (8 * 4)?,32
What is 6 - (9 * 7)?,-57
What is 2 + (9 * 6)?,56
What is 1 + (9 * 1)?,10
What is 7 * (4 - 1)?,21
What is 4 * (4 - 1)?,12
What is 8 + (8 + 1)?,17
What is 9 + (0 - 2)?,7
What is 6 - (7 * 0)?,6
What is 2 * (1 * 6)?,12
What is 3 - (0 + 3)?,0
What is 0 + (9 * 6)?,54
What is 4 * (6 + 6)?,48
What is 7 * (8 + 2)?,70
What is 3 + (9 * 2)?,21
What is 7 - (4 + 4)?,-1
What is 6 * (0 + 0)?,0
What is 0 + (4 * 2)?,8
What is 2 + (1 * 5)?,7
What is 5 * (2 + 5)?,35
What is 1 - (5 - 3)?,-1
What is 5 * (7 * 7)?,245
What is 1 - (1 - 5)?,5
What is 6 * (8 - 7)?,6
What is 8 + (1 * 3)?,11
What is 6 + (8 + 5)?,19
What is 2 - (2 * 0)?,2
What is 9 * (1 - 1)?,0
What is 9 * (4 * 5)?,180
What is 7 - (6 * 9)?,-47
What is 9 - (7 + 8)?,-6
What is 8 - (0 - 6)?,14
What is 8 * (0 + 3)?,24
What is 7 - (1 * 5)?,2
What is 3 * (8 * 0)?,0
What is 1 - (0 + 9)?,-8
What is 5 - (2 - 5)?,8
What is 7 * (6 + 0)?,42
What is 7 + (5 * 2)?,17
What is 7 - (8 * 2)?,-9
What is 4 + (9 + 7)?,20
What is 7 * (9 + 9)?,126
What is 9 * (7 - 5)?,18
What is 6 * (9 - 2)?,42
What is 6 - (3 - 5)?,8
What is 3 + (3 * 4)?,15
What is 9 + (5 * 7)?,44
What is 5 - (9 + 2)?,-6
What is 2 + (4 * 8)?,34
What is 9 - (1 + 7)?,1
What is 2 * (9 + 5)?,28
What is 1 + (8 - 7)?,2
What is 6 + (4 - 8)?,2
What is 6 + (5 + 0)?,11
What is 3 * (9 - 2)?,21
What is 1 - (4 * 8)?,-31
What is 7 * (6 * 5)?,210
What is 6 + (0 - 1)?,5
What is 2 * (4 * 9)?,72
What is 7 - (4 - 8)?,11
What is 5 * (3 + 1)?,20
What is 1 * (8 * 0)?,0
What is 8 + (5 * 9)?,53
What is 3 + (0 * 0)?,3
What is 4 - (1 * 9)?,-5
What is 2 * (9 + 9)?,36
What is 4 + (4 * 2)?,12
What is 3 + (2 - 2)?,3
What is 7 * (4 * 2)?,56
What is 4 + (3 * 1)?,7
What is 6 * (2 + 3)?,30
What is 5 * (8 + 7)?,75
What is 4 * (1 - 9)?,-32
What is 9 + (3 + 0)?,12
What is 9 + (0 + 6)?,15
What is 7 * (8 - 0)?,56
What is 3 - (2 * 7)?,-11
What is 7 * (3 * 4)?,84
What is 3 - (1 - 5)?,7
What is 5 - (8 + 9)?,-12
What is 4 + (8 + 6)?,18
What is 6 * (1 + 9)?,60
What is 8 + (2 - 7)?,3
What is 4 + (8 * 3)?,28
What is 1 - (4 - 7)?,4
What is 8 - (0 * 5)?,8
What is 6 * (8 * 2)?,96
What is 8 * (9 + 2)?,88
What is 4 * (9 * 7)?,252
What is 6 + (3 - 7)?,2
What is 1 - (1 + 8)?,-8
What is 8 + (7 + 2)?,17
What is 3 * (3 - 1)?,6
What is 6 + (1 * 8)?,14
What is 3 + (3 + 7)?,13
What is 1 * (8 + 2)?,10
What is 8 * (9 * 8)?,576
What is 6 * (9 - 6)?,18
What is 7 - (9 - 0)?,-2
What is 3 - (0 + 3)?,0
What is 8 + (3 + 0)?,11
What is 7 * (7 - 1)?,42
What is 4 * (6 * 5)?,120
What is 4 + (1 - 9)?,-4
What is 5 * (9 + 9)?,90
What is 3 + (2 + 6)?,11
What is 7 * (4 * 2)?,56
What is 5 * (2 - 1)?,5
What is 5 + (1 + 5)?,11
What is 4 * (8 * 6)?,192
What is 6 + (6 - 0)?,12
What is 1 * (4 + 2)?,6
What is 9 + (7 * 5)?,44
What is 2 - (9 * 6)?,-52
What is 3 + (1 - 2)?,2
What is 8 + (6 - 2)?,12
What is 7 * (9 - 1)?,56
What is 1 + (1 * 7)?,8
What is 0 + (0 - 9)?,-9
What is 4 * (9 * 4)?,144
What is 6 * (2 + 3)?,30
What is 9 - (8 * 2)?,-7
What is 3 + (0 * 3)?,3
What is 9 * (2 * 2)?,36
What is 2 - (1 + 1)?,0
What is 4 * (9 - 7)?,8
What is 9 * (6 + 0)?,54
What is 2 - (7 - 0)?,-5
What is 4 + (6 - 6)?,4
What is 3 * (3 * 1)?,9
What is 2 + (3 - 8)?,-3
What is 5 - (0 * 4)?,5
What is 8 * (8 - 2)?,48
What is 9 + (8 - 6)?,11
What is 1 + (7 * 4)?,29
What is 4 - (4 + 1)?,-1
What is 7 * (0 - 6)?,-42
What is 0 * (4 - 8)?,0
What is 7 * (9 * 9)?,567
What is 3 - (2 + 0)?,1
What is 6 - (4 - 3)?,5
What is 4 + (8 * 6)?,52
What is 7 * (4 + 2)?,42
What is 3 * (5 * 4)?,60
What is 1 - (0 - 6)?,7
What is 9 - (3 + 5)?,1
What is 1 * (3 - 5)?,-2
What is 7 - (2 - 5)?,10
What is 6 + (5 + 9)?,20
What is 8 + (7 + 2)?,17
What is 8 + (6 - 7)?,7
What is 1 * (6 - 0)?,6
What is 9 - (2 * 4)?,1
What is 1 + (8 + 5)?,14
What is 0 - (1 - 5)?,4
What is 3 * (3 * 5)?,45
What is 7 + (4 - 8)?,3
What is 6 + (0 + 1)?,7
What is 5 * (3 + 4)?,35
What is 8 + (4 * 1)?,12
What is 9 + (4 + 0)?,13
What is 2 + (7 - 2)?,7
What is 4 * (2 * 7)?,56
What is 0 + (8 + 6)?,14
What is 1 * (4 - 1)?,3
What is 3 + (4 - 6)?,1
What is 9 - (8 + 8)?,-7
What is 6 - (0 * 9)?,6
What is 3 * (4 - 5)?,-3
What is 7 - (7 - 4)?,4
What is 2 - (2 - 3)?,3
What is 0 * (5 * 7)?,0
What is 4 + (3 - 0)?,7
What is 8 - (2 * 3)?,2
What is 9 + (5 + 8)?,22
What is 7 - (6 - 7)?,8
What is 0 + (3 + 9)?,12
What is 7 * (2 * 1)?,14
What is 8 - (6 + 9)?,-7
What is 1 * (6 - 0)?,6
What is 5 * (0 - 3)?,-15
What is 6 * (7 - 8)?,-6
What is 1 - (0 - 1)?,2
What is 6 - (6 - 3)?,3
What is 6 * (8 - 0)?,48
What is 4 - (7 * 2)?,-10
What is 6 * (6 * 9)?,324
What is 4 - (7 - 8)?,5
What is 6 - (9 + 2)?,-5
What is 6 - (7 + 7)?,-8
What is 3 - (5 + 3)?,-5
What is 9 + (5 - 2)?,12
What is 1 * (1 + 2)?,3
What is 3 * (2 * 0)?,0
What is 6 - (6 - 2)?,2
What is 7 + (4 + 8)?,19
What is 7 * (2 + 1)?,21
What is 7 - (4 - 4)?,7
What is 0 - (9 - 4)?,-5
What is 1 + (0 - 4)?,-3
What is 4 - (8 + 3)?,-7
What is 6 + (0 - 0)?,6
What is 0 + (4 + 4)?,8
What is 0 + (9 * 0)?,0
What is 2 * (7 + 1)?,16
What is 0 + (8 + 2)?,10
What is 1 + (9 + 1)?,11
What is 7 + (6 - 1)?,12
What is 7 * (8 + 2)?,70
What is 2 * (5 + 6)?,22
What is 1 * (8 * 0)?,0
What is 3 - (1 * 6)?,-3
What is 5 * (8 - 9)?,-5
What is 4 * (3 + 9)?,48
What is 2 - (9 * 6)?,-52
What is 4 - (5 + 8)?,-9
What is 0 - (0 * 2)?,0
What is 3 + (2 - 2)?,3
What is 7 - (2 + 4)?,1
What is 0 * (2 - 5)?,0
What is 3 - (1 + 8)?,-6
What is 4 * (5 + 3)?,32
What is 9 - (3 + 5)?,1
What is 4 - (6 + 8)?,-10
What is 5 + (3 - 6)?,2
What is 8 - (4 + 2)?,2
What is 4 * (1 - 5)?,-16
What is 0 * (4 * 3)?,0
What is 2 * (4 * 5)?,40
What is 1 + (2 * 7)?,15
What is 9 - (9 - 1)?,1
What is 0 + (4 * 0)?,0
What is 2 - (5 + 2)?,-5
What is 9 + (8 * 3)?,33
What is 8 * (3 * 7)?,168
What is 7 - (9 - 9)?,7
What is 5 - (1 - 0)?,4
What is 2 * (7 * 3)?,42
What is 6 * (9 + 0)?,54
What is 9 - (7 + 6)?,-4
What is 2 - (6 * 6)?,-34
What is 3 * (4 + 1)?,15
What is 9 * (0 + 4)?,36
What is 1 + (2 - 4)?,-1
What is 4 - (8 * 6)?,-44
What is 6 + (7 - 7)?,6
What is 9 - (5 * 4)?,-11
What is 4 * (6 + 9)?,60
What is 7 + (8 - 8)?,7
What is 4 + (6 - 0)?,10
What is 8 * (1 + 4)?,40
What is 0 * (7 - 6)?,0
What is 8 - (7 * 8)?,-48
What is 7 * (9 + 2)?,77
What is 9 - (5 - 3)?,7
What is 1 + (3 * 1)?,4
What is 7 - (2 - 7)?,12
What is 2 - (7 - 4)?,-1
What is 8 - (3 * 0)?,8
What is 4 * (6 * 8)?,192
What is 1 * (4 + 2)?,6
What is 2 + (1 + 5)?,8
What is 0 + (7 * 7)?,49
What is 8 * (0 - 2)?,-16
What is 9 - (2 + 9)?,-2
What is 4 - (5 - 2)?,1
